1 "ABBOTT, HARVEY L."
3546 "Kudlek, Manfred"
3547 "Kueker, David W."
3548 "Kuhlmann, Franz-Viktor"
3549 "Kuhlmann, Salma"
3550 "Kuhn, Harold W."
3551 "Kuhn, Markus G."
3552 "Kuhn, Thomas"
3553 "Kuich, Werner"
3554 "Kuijlaars, Arno B. J."
3555 "Kuklinski, Lisa"
3556 "Kulanoot, Araya"
3557 "Kull, H."
3558 "Kulvetsas, L. L."
3559 "Kumar, Ravi"
3560 "Kumar, Vijaya"
3561 "Kundgen, Andre"
3562 "Kung, Joseph P. S."
3563 "Kunth, Peter"
3564 "Kuperberg, Greg"
3565 "Kuperberg, Krystyna M."
3566 "Kuperberg, Wlodzimierz"
3567 "Kuran, Ulku"
3568 "Kurata, Kazuhiro"
3569 "Kuratowski, Kazimierz"
3570 "Kurkova, Vera"
3571 "Kurlberg, Par"
3572 "Kurosawa, Kaoru"
3573 "Kurshan, Robert P."
3574 "Kurtz, David"
3575 "Kushilevitz, Eyal"
3576 "Kushneriuk, S. A."
3577 "Kutin, Samuel"
3578 "Kutten, Shay"
3579 "Kuzyurin, Nikolaj Nikolaevic"
3580 "Kwiatkowski, D. J."
3581 "Kwiatkowski, Jan"
3582 "Kwizak, Michael"
3583 "Kwong, Y. H. Harris"
3584 "La Poutre, Johannes A."
3585 "Labahn, Roger"
3586 "Labelle, Gilbert"
3587 "Laborde, Jean-Marie"
3588 "Labuda, Iwo"
3589 "Lachlan, Alistair H."
3590 "Lacoume, J. L."
3591 "Laczkovich, Miklos"
3592 "Ladner, Richard E."
3593 "Laffey, Thomas J."
3594 "Laflamme, Claude"
3595 "Lagarias, Jeffrey C."
3596 "Lagraula, Xavier"
3597 "Laha, R. G."
3598 "Lahiri, Debabrata B."
3599 "Lai, C. W."
3600 "Lai, Hang-Chin"
3601 "Lai, Hong-Jian"
3602 "Lai, Hongyuan"
3603 "Lai, Ming Jun"
3604 "Lai, Yung-Ling"
3605 "Lakamraju, V."
3606 "Lakser, Harry"
3607 "Lalani, Judy M."
3608 "Lalley, Steven P."
3609 "Lam, Charles"
3610 "Lam, Clement Wing Hong"
3611 "Lam, Kwok-Yan"
3612 "Lam, Tsit Yuen"
3613 "LaMacchia, Brian A."
3614 "Laman, Gerard"
3615 "Lambek, Joachim"
3616 "Lamken, Esther R."
3617 "Lamperti, John"
3618 "Lance, E. Christopher"
3619 "Landau, E."
3620 "Landau, Edmund"
3621 "Landau, Henry J."
3622 "Lander, Eric S."
3623 "Lander, Leon J."
3624 "Landgev, Ivan N."
3625 "Landman, Bruce M."
3626 "Landreau, Bernard"
3627 "Landrock, Peter"
3628 "Lane, Norman D."
3629 "Langer, Rudolph E."
3630 "Langevin, Michel"
3631 "Langford, Eric"
3632 "Langlands, Robert P."
3633 "Langley, James K."
3634 "Langley, Larry J."
3635 "Langston, Michael A."
3636 "Laohakosol, Vichian"
3637 "Lapidot, Eitan"
3638 "Lapidus, Michel L."
3639 "Laplante, Sophie"
3640 "Lappan, Peter"
3641 "Larman, David G."
3642 "Larson, David R."
3643 "Larson, Richard C."
3644 "Larson, Suzanne"
3645 "Lasaga, F. R."
3646 "Lascar, Daniel"
3647 "Laskowski, Michael C."
3648 "Lasser, Lewis L."
3649 "Last, Hagit"
3650 "Laszlo, B."
3651 "Laszlo, Vojtech"
3652 "Latombe, Claudine"
3653 "Latta, G. E."
3654 "Laubie, Francois"
3655 "Laud, Purushottam W."
3656 "Laurent, Monique"
3657 "Lauri, Josef"
3658 "Lauritzen, Steffen Lilholt"
3659 "Lavalle, Irving H."
3660 "Laver, Richard"
3661 "Laviolette, Francois"
3662 "Law, Edith"
3663 "Law-Yone, Nissan"
3664 "Lawler, Eugene L."
3665 "Lawless, Jerald F."
3666 "Lawrence, James F."
3667 "Lawrence, John W."
3668 "Lawrence, Sherri L."
3669 "Lawrencenko, Serge"
3670 "Lawry, Joan"
3671 "Lawson, Jamie"
3672 "Lawson, Jimmie D."
3673 "Lawson, Linda"
3674 "Lawton, Wayne M."
3675 "Lazard, Daniel"
3676 "Lazarus, R."
3677 "Lazebnik, Felix G."
3678 "Lazetic, Nebojsa"
3679 "Le Borgne, Yvan"
3680 "Le Cam, Lucien"
3681 "Le Dantec, Claude"
3682 "Le Gall Jean-Francois"
3683 "Le Jan, Yves"
3684 "Le Tu, Quoc Hung"
3685 "Le, Mao Hua"
3686 "Leader, Imre"
3687 "Leahey, William J."
3688 "Leary, Christopher"
3689 "Lederer, George"
3690 "Ledermann, Walter"
3691 "Lee, Anna"
3692 "Lee, Carl W."
3693 "Lee, Delman"
3694 "Lee, Gwang-Yeon"
3695 "Lee, H. C."
3696 "Lee, H. W. J."
3697 "Lee, Hikyu"
3698 "Lee, John Walter"
3699 "Lee, Jon-2"
3700 "Lee, Min-Young"
3701 "Lee, Peng Yee"
3702 "Lee, Sang-Gu"
3703 "Lee, Seng Chye"
3704 "Lee, Seng Luan"
3705 "Lee, Sin-Min"
3706 "Lee, Tony T."
3707 "Lee, Woo Young"
3708 "Lee, You-Ho"
3709 "Leeb, Klaus"
3710 "Leech, J. W."
3711 "Leeming, David J."
3712 "Leenman, H."
3713 "Leep, David"
3714 "Legen, Anton"
3715 "Legg, David A."
3716 "Lehmann, Daniel J."
3717 "Lehmer, Derrick Henry"
3718 "Lehmer, Emma"
3719 "Lehr, Siegfried"
3720 "Lehrer, Ehud"
3721 "Lehrer, Gustav Isaac"
3722 "Leibman, Alexander"
3723 "Leighton, Frank Thomson"
3724 "Leindler, Laszlo"
3725 "Leininger, Brian S."
3726 "Lekkerkerker, Cornelius Gerrit"
3727 "Lemanczyk, Mariusz"
3728 "Lemke, Paul"
3729 "Lemos, Manoel"
3730 "Lempel, Abraham"
3731 "Lempel, Ronny"
3732 "Lempert, Laszlo"
3733 "Lengyel, Florian"
3734 "Lengyel, Tamas"
3735 "Lenhart, William James"
3736 "Lenihan, Bill"
3737 "Lenker, Terry D."
3738 "Lenstra, Arjen K."
3739 "Lenstra, Hendrik W., Jr."
3740 "Lenstra, Jan Karel"
3741 "Lenz, Hanfried"
3742 "Leonard, Douglas A."
3743 "Leonard, H. T., Jr."
3744 "Leonard, Philip A."
3745 "Lepley, Margaret"
3746 "Leroux, Pierre"
3747 "Leroux, Steve"
3748 "Leshem, Amir"
3749 "Lesieur, Leonce"
3750 "Lesigne, Emmanuel"
3751 "Lesley, F. David"
3752 "Lesniak, Linda M."
3753 "Leth, Steven"
3754 "Lettl, Gunter"
3755 "Leu, Ming Guang"
3756 "Leung, Joseph Y.-T."
3757 "Leutwyler, H."
3758 "Levai, L."
3759 "Levan, Mike"
3760 "Levelt, Antonius Henricus Maria"
3761 "Leven, Daniel"
3762 "Levenberg, Norman, Jr."
3763 "Leveugle, Regis"
3764 "Levi, Inessa"
3765 "Leviatan, Dany"
3766 "Levin, Bernard"
3767 "Levin, David"
3768 "Levin, Eugene"
3769 "Levin, Gregory M."
3770 "Levin, Leonid A."
3771 "Levine, Eugene"
3772 "Levine, Raphael David"
3773 "Levingston, Richard Henry"
3774 "Levinski, Jean-Pierre"
3775 "Levinson, Henry"
3776 "Levinson, Norman"
3777 "Levitin, Lev B."
3778 "Levitt, Gilbert"
3779 "Levitt, Jonathan"
3780 "Levy, Yannick"
3781 "Lew, Robert A."
3782 "Lewinter, Martin"
3783 "Lewis, D. C."
3784 "Lewis, Donald J."
3785 "Lewis, Graham"
3786 "Lewis, James T."
3787 "Lewis, Susan Margaret"
3788 "Lewis, Ted"
3789 "Leyland, Paul C."
3790 "Li, Anping"
3791 "Li, Bo Yu"
3792 "Li, Brenda"
3793 "Li, Chi-Kwong"
3794 "Li, Chun-3"
3795 "Li, Guo Jun-1"
3796 "Li, Haizhu"
3797 "Li, Hao-1"
3798 "Li, Hong Xiang"
3799 "Li, Ming Chu"
3800 "Li, Peter"
3801 "Li, Qiao"
3802 "Li, Rao"
3803 "Li, Shu-Guang"
3804 "Li, Shuo-Yen Robert"
3805 "Li, Song Ying"
3806 "Li, Wei Xuan"
3807 "Li, Xian-Jin"
3808 "Li, Xiang Wen"
3809 "Li, Xie Zhang"
3810 "Li, Xin-3"
3811 "Li, Yu Qiang"
3812 "Li, Yu Sheng"
3813 "Li, Zheng Liang"
3814 "Li, Zhong Xiang"
3815 "Li, Zhongshan"
3816 "Lian, Jian Ao"
3817 "Liang, Weifa"
3818 "Liao, Lu-Peji"
3819 "Liao, Ming"
3820 "Liardet, Pierre"
3821 "Liaw, Sheng-Chyang"
3822 "Lichtenstein, David"
3823 "Lieb, Elliott H."
3824 "Liebeck, Martin W."
3825 "Lieberherr, Karl J."
3826 "Liebler, Robert A."
3827 "Liestman, Arthur L."
3828 "Lieuwens, Erik"
3829 "Liflyand, Elijah R."
3830 "Lifsches, Shmuel"
3831 "Lifshits, Mikhail A."
3832 "Liggett, Thomas M."
3833 "Lih, Keh-Wei"
3834 "Liisberg, Christian"
3835 "Lim, Darren T."
3836 "Lim, M. J. S."
3837 "Lin, Cantian"
3838 "Lin, Chio Shih"
3839 "Lin, Guo Dung"
3840 "Lin, Guohui"
3841 "Lin, Hsien Elsa"
3842 "Lin, In-Jen"
3843 "Lin, Peng"
3844 "Lin, Shen"
3845 "Lin, Vladimir Ya."
3846 "Lin, Wei"
3847 "Lin, Yi Xun"
3848 "Lin, Zheng Yan"
3849 "Lind, Douglas A."
3850 "Lindemayer, Aristid"
3851 "Lindenbaum, A."
3852 "Lindenstrauss, Joram"
3853 "Linder, Ernst"
3854 "Lindgren, William F."
3855 "Lindner, Charles C."
3856 "Lindquester, Terri England"
3857 "Lindstrom, Bernt"
3858 "Lindvall, Torgny"
3859 "Linek, Vaclav"
3860 "Linfoot, Edward Hubert"
3861 "Ling, Alan Chi Hung"
3862 "Linnartz, Jean-Paul"
3863 "Linneberg, Christian"
3864 "Linnik, Yurii Vladimirovich"
3865 "Lioen, Walter M."
3866 "Lions, Jacques-Louis"
3867 "Lipinski, Jan Stanislaw"
3868 "Lipkin, Edith"
3869 "Lipman, Marc J."
3870 "Lipshitz, Leonard"
3871 "Lipstein, Benjamin"
3872 "Liptai, Kalman"
3873 "Liptak, Laszlo"
3874 "Lipton, Richard J."
3875 "Lisan, Amha Tume"
3876 "Liskov, Barbara"
3877 "Lisonek, Petr"
3878 "List, Albert"
3879 "List, Rudy J."
3880 "Lister, William G."
3881 "Litman, Ami"
3882 "Litsyn, Simon N."
3883 "Little, Charles H. C."
3884 "Littlewood, John Edensor"
3885 "Litvak, Eugene L."
3886 "Liu, Andy C. F."
3887 "Liu, Bo Lian"
3888 "Liu, Chung Laung"
3889 "Liu, Gui Zhen"
3890 "Liu, H. C."
3891 "Liu, Jia Zhuang"
3892 "Liu, Jiping"
3893 "Liu, Kecheng"
3894 "Liu, Lin Zhong"
3895 "Liu, Xin-2"
3896 "Liu, Xinming"
3897 "Liu, Yi Ping"
3898 "Liu, Yu-Ru"
3899 "Liu, Zhen Hong-1"
3900 "Liu, Zi Cheng"
3901 "Livingston, Marilynn L."
3902 "Livne, Ron A."
3903 "Livsic, Emanuel M."
3904 "Llewellyn, Donna Crystal"
3905 "Llibre, Jaume"
3906 "Lloyd, E. Keith"
3907 "Lobstein, Antoine-Christophe"
3908 "Locantore, Nicholas W., Jr."
3909 "Locke, Stephen C."
3910 "Lockenhoff, H.-D."
3911 "Lockhart, Paul"
3912 "Loeb, Peter A."
3913 "Loewenthal, Dan"
3914 "Loewner, Charles"
3915 "Loewy, Raphael"
3916 "Lofgren, Christopher B."
3917 "Logan, Benjamin F., Jr."
3918 "Logan, Jonothan"
3919 "Lohwater, Arthur J."
3920 "Loi, Nguyen Hui"
3921 "Lokam, Satyanarayana V."
3922 "Lomnicki, Z. A."
3923 "Lomonaco, Samuel J., Jr."
3924 "Lomonosov, Mikhail Vasilevich"
3925 "Lomonosov, Victor I."
3926 "Lomont, J. S."
3927 "London, David"
3928 "London, Eran"
3929 "London, H."
3930 "Long, Calvin T."
3931 "Longo, Giuseppe"
3932 "Longobardi, Patrizia"
3933 "Longoni, Giuliano"
3934 "Longpre, Luc"
3935 "Longyear, Judith Q."
3936 "Lonie, Andrew"
3937 "Lonz, Stephen A."
3938 "Loomis, Irene"
3939 "Lopes, Artur"
3940 "Lorberbom, Mordechai"
3941 "Lorch, Lee"
3942 "Lorentz, Rudolph A."
3943 "Loreti, Paola"
3944 "Losonczi, Laszlo"
3945 "Losonczy, Jozsef"
3946 "Lossers, O. P."
3947 "Loten, Cynthia O. M."
3948 "Lotspeich, M."
3949 "Lou, Ding Jun"
3950 "Loui, Michael C."
3951 "Loukakis, Emmanuel"
3952 "Louveau, Alain"
3953 "Low, Janice Lorraine"
3954 "Low, Lewis"
3955 "Low, Marc E."
3956 "Lu, Lincoln Linyuan"
3957 "Lu, T. J."
3958 "Lu, Xiao Yun-1"
3959 "Lu, Xin Zhong"
3960 "Lu, Yi Zhong"
3961 "Lubachevsky, Boris D."
3962 "Lubeck, Olaf M."
3963 "Lubell, David"
3964 "Lubin, Clarence I."
3965 "Lubinsky, Doron S."
3966 "Lubitch, Ronit"
3967 "Lubiw, Anna"
3968 "Lubotzky, Alexander"
3969 "Luby, Michael"
3970 "Luce, R. Duncan"
3971 "Luchins, Edith H."
3972 "Luckman, J."
3973 "Ludescher, William H."
3974 "Ludwig, Monika"
3975 "Luecking, Daniel H."
3976 "Lueker, George S."
3977 "Lui, King-Shan"
3978 "Lukacs, Erzsebet"
3979 "Lukacs, Eugene"
3980 "Lukes, Richard F."
3981 "Luks, Eugene M."
3982 "Lund, Carsten"
3983 "Lundgren, J. Richard"
3984 "Lundquist, Tore"
3985 "Lung, K."
3986 "Luszczki, Z."
3987 "Luttinger, J. M."
3988 "Lynch, James Dennis"
3989 "Lynch, James F."
3990 "Lyndon, Roger C."
3991 "Lyngso, Rune Bang"
3992 "Lynn, M. Stuart"
3993 "Lyuu, Yuh-Dauh"
3994 "Ma, Daowei"
3995 "Ma, Yuan"
3996 "Maass, Alejandro"
3997 "Maass, Wolfgang"
3998 "Mac Dowell, R."
3999 "Macaj, Martin"
4000 "Macaskill, M. J."
4001 "MacAulay, James B."
4002 "Macbeath, A. M."
4003 "MacCrimmon, Kenneth. R."
4004 "Macdonald, A. H."
4005 "Macdonald, Ian G."
4006 "MacDougall, James A."
4007 "MacGillivray, Gary"
4008 "MacGregor, Thomas H."
4009 "Macintyre, Angus"
4010 "Macintyre, Sheila Scott"
4011 "Mack, John E."
4012 "MacKay, David J. C."
4013 "MacKendrick, Sharon"
4014 "Mackey, George W."
4015 "MacLane, Gerald R."
4016 "MacLeod, R. A."
4017 "Macon, Nathaniel"
4018 "Macphail, Moray S."
4019 "Macpherson, H. Dugald"
4020 "MacWilliams, F. Jessie"
4021 "Madan, Dilip B."
4022 "Madaras, Tomas"
4023 "Maddox, Randall"
4024 "Maddux, Roger D."
4025 "Madej, Tom"
4026 "Madych, Wolodymyr R."
4027 "Maehara, Hiroshi"
4028 "Maffray, Frederic"
4029 "Magdon-Ismail, Malik"
4030 "Magen, Avner"
4031 "Magerl, Gerhard"
4032 "Magliveras, Spyros S."
4033 "Magnanti, Thomas L."
4034 "Magnus, P."
4035 "Mahadev, N. V. R."
4036 "Mahajan, Sanjeev"
4037 "Maharaj, Hiren"
4038 "Maharam, Dorothy"
4039 "Mahdian, Mohammad"
4040 "Maheo, Maryvonne"
4041 "Mahmoodian, Ebadollah S."
4042 "Mai, Liem"
4043 "Maier, David"
4044 "Maj, Mercede"
4045 "Majewski, Bohdan S."
4046 "Major, Peter"
4047 "Majumdar, Aniket"
4048 "Makai, Endre"
4049 "Makovoz, Yuly"
4050 "Makowski, Andrzej"
4051 "Makowsky, Johann Andreas"
4052 "Maksa, Gyula"
4053 "Malaiya, Yashwant K."
4054 "Malek, Miroslaw"
4055 "Maleki, Amir"
4056 "Malik, Josef"
4057 "Maliniak, Yoram"
4058 "Malita, Mircea"
4059 "Malitz, Jerome"
4060 "Malka, Yossi"
4061 "Malkevitch, Joseph"
4062 "Malkhi, Dahlia"
4063 "Malle, Gunther"
4064 "Malliavin, Paul"
4065 "Mallion, Richard B."
4066 "Mallmann, Carlos A."
4067 "Mallows, Colin L."
4068 "Malti, Michel G."
4069 "Maly, Jan"
4070 "Malyshko, Vladimir V."
4071 "Mamali, Catalin"
4072 "Manalastas, P., Jr."
4073 "Manber, Rachel"
4074 "Manber, Udi"
4075 "Mandziuk, Jacek"
4076 "Mandziuk, Malgorzata T."
4077 "Maneri, Carl C."
4078 "Mani-Levitska, Peter"
4079 "Manickam, Nachimuthu"
4080 "Mann, Avinoam"
4081 "Mann, Henry B."
4082 "Mann, Jonah"
4083 "Mannila, Heikki"
4084 "Mannos, Murray"
4085 "Manoussakis, Yannis G."
4086 "Manson, Karen E."
4087 "Mansour, Yishay"
4088 "Manstavicius, Eugenijus"
4089 "Manteuffel, Thomas A."
4090 "Manvel, Bennet"
4091 "Marathe, Achla"
4092 "Marathe, Madhav V."
4093 "March, L."
4094 "Marchand, Joel"
4095 "Marcus, Marvin"
4096 "Marcus, Michael B."
4097 "Marcus, Yosi"
4098 "Marcus-Roberts, Helen M."
4099 "Marczewski, Edward"
4100 "Marden, Albert"
4101 "Mardiyono, S."
4102 "Marechal, Odile"
4103 "Maresky, Jonathan"
4104 "Margalit, Oded"
4105 "Maric, Vojislav"
4106 "Marica, John"
4107 "Marie-Jeanne, F."
4108 "Maritz, Milton"
4109 "Mark, C."
4110 "Marker, David"
4111 "Markert, Matthew"
4112 "Marki, Laszlo"
4113 "Markowitz, Harry M."
4114 "Markowsky, George"
4115 "Markus, Lawrence"
4116 "Markus, Lisa R."
4117 "Markvorsen, Steen"
4118 "Marley, Anthony A. J."
4119 "Marshak, Robert E."
4120 "Marshall, Timothy Hamilton"
4121 "Marstrand, John M."
4122 "Martin, Donald A."
4123 "Martin, Gaven J."
4124 "Martin, Greg"
4125 "Martin, Harold W."
4126 "Martin, Keith M."
4127 "Martin, Michael S."
4128 "Martin, Olivier"
4129 "Martin, Russell"
4130 "Martin, William J."
4131 "Martin-Lof, Anders"
4132 "Martin-Vide, Carlos"
4133 "Martineau, Andre"
4134 "Martinet, Jacques"
4135 "Martinez, Jorge-2"
4136 "Martinez, Servet A."
4137 "Martini, Horst"
4138 "Martins, Cleide"
4139 "Martisovits, Ilja"
4140 "Marton, Katalin"
4141 "Martynov, Gennadii Viktorovich"
4142 "Marusic, Dragan"
4143 "Marx, Imanuel"
4144 "Marx, Morris L."
4145 "Maskin, Eric"
4146 "Masley, John Myron"
4147 "Mason, David M."
4148 "Mason, David W."
4149 "Mason, John C."
4150 "Mason, John H."
4151 "Mason, R. C."
4152 "Massey, James L."
4153 "Massey, William A."
4154 "Massias, Jean-Pierre"
4155 "Mastroianni, Giuseppe"
4156 "Masucci, Barbara"
4157 "Masurova, N. P."
4158 "Matamala, Martin"
4159 "Mateescu, Alexandru"
4160 "Mathon, Rudolf A."
4161 "Mathur, K. K."
4162 "Matias, Yossi"
4163 "Matiyasevich, Yuri V."
4164 "Matousek, Jiri"
4165 "Matouskova, Eva"
4166 "Matsumoto, Kohji"
4167 "Matsumoto, Makoto"
4168 "Matsushita, Teresa A."
4169 "Matthews, Gordon"
4170 "Matthews, Rex W."
4171 "Mattila, Pertti"
4172 "Matyas, Ferenc"
4173 "Mauldin, Nancy S."
4174 "Maurer, Stephen B."
4175 "Mavron, Vassili C."
4176 "Maxfield John E."
4177 "Maxian, Milan"
4178 "Maxones, Walter"
4179 "Maxova, Jana"
4180 "Maxson, Carlton J."
4181 "Maybee, John S."
4182 "Mazhar, Syed Mohammad"
4183 "Mazo, James E."
4184 "Mazur, Barry C."
4185 "Mazur, P."
4186 "Mazur, Stanislaw"
4187 "Mazurov, Viktor Danilovich"
4188 "Mazzocca, Francesco"
4189 "McAndrew, M. H."
4190 "McAsey, Michael J."
4191 "McAvaney, Kevin Lawrence"
4192 "McCabe, Bernard J."
4193 "McCallum, Duncan"
4194 "McCallum, Michael"
4195 "McCarthy, David"
4196 "McCarthy, John E."
4197 "McClanahan, Gregory A."
4198 "McClung, Frederick J."
4199 "McColgan, Tamara Lynn"
4200 "McCormick, S. Thomas"
4201 "McCormick, William P."
4202 "McCuaig, William D."
4203 "McCurley, Kevin S."
4204 "McCutcheon, Randall"
4205 "McDiarmid, Colin J. H."
4206 "McDonald, David R."
4207 "McDonnell, Eugene"
4208 "McFarland, Robert L."
4209 "McGee, I. J."
4210 "McGehee, O. Carruth"
4211 "McGinnis, Leon F."
4212 "McGuaig, William D."
4213 "McGuinness, Sean"
4214 "McGuire, Gary"
4215 "McIlwaine, Susan"
4216 "McIntosh, Richard J."
4217 "McKay, John K. S."
4218 "McKay, Mark"
4219 "McKean, Henry P., Jr."
4220 "McKee, Terry A."
4221 "McKenzie, Ralph Nelson"
4222 "McKeon, Kathleen A."
4223 "McKernie, M. Jean"
4224 "McKiernan, Michel A."
4225 "McKinsey, J. C. C."
4226 "McLaughlin, James R."
4227 "McLaughlin, Renate"
4228 "McMillan, John E."
4229 "McMorris, Fred R."
4230 "McMullen, Peter"
4231 "McNaughton, Robert"
4232 "McNulty, George F."
4233 "McNulty, Jennifer"
4234 "McRae, Alice A."
4235 "McShane, Edward James"
4236 "McShine, Lisa"
4237 "McSorley, John"
4238 "McVoy, W. S."
4239 "Mead, David G."
4240 "Meadows, Catherine"
4241 "Meckler, Alan, H."
4242 "Meda, Ana"
4243 "Medgyessy, Pal"
4244 "Meerdink, Terry"
4245 "Megalakaki, O."
4246 "Megiddo, Nimrod"
4247 "Megill, Norman D."
4248 "Mehr, C. B."
4249 "Mehri, Bahman"
4250 "Meijer, Hendrik Gerrit"
4251 "Meinardus, Gunter"
4252 "Meisters, Gary Hosler"
4253 "Mejlbro, Leif"
4254 "Mekler, Alan H."
4255 "Mellendorf, Stephen"
4256 "Melles, Garvin"
4257 "Mello, Celia P."
4258 "Melman, Myron"
4259 "Melnikov, Leonid S."
4260 "Melter, Robert A."
4261 "Melton, Austin C."
4262 "Melton, Jim"
4263 "Mendelsohn, Eric"
4264 "Mendelsohn, Nathan S."
4265 "Mendelsom, Bilha"
4266 "Mendes France, Michel"
4267 "Mengersen, Ingrid"
4268 "Menser, D. K."
4269 "Menzer, Hartmut"
4270 "Mercier, Armel"
4271 "Merlini, Donatella"
4272 "Merriell, David"
4273 "Merz, Sarah K."
4274 "Meshulam, Roy"
4275 "Mesner, Dale M."
4276 "Meszka, Mariusz"
4277 "Metropolis, Nicholas"
4278 "Metsch, Klaus"
4279 "Meulenbeld, Barend"
4280 "Meurman, Tom"
4281 "Meyer auf der Heide, Friedhelm"
4282 "Meyer, Albert R."
4283 "Meyer, Jacques Rene"
4284 "Meyerowitz, Aaron D."
4285 "Meyers, Eves"
4286 "Meyrowitsch, Jan"
4287 "Mezey, Paul G."
4288 "Mhaskar, H. N."
4289 "Mian, Majid A."
4290 "Micchelli, Charles A."
4291 "Michael, Ernest A."
4292 "Mielke, Hans"
4293 "Mientka, Walter E."
4294 "Mignosi, Filippo"
4295 "Mignotte, Maurice"
4296 "Mihail, Milena"
4297 "Mihelich, Christopher C."
4298 "Mihok, Peter"
4299 "Mijajlovic, Zarko"
4300 "Miklos, Dezso"
4301 "Miksa, Francis L."
4302 "Mikusinski, Jan G."
4303 "Milazzo, Lorenzo"
4304 "Mildenberger, Heike"
4305 "Milgram, Arthur N."
4306 "Milici, Salvatore"
4307 "Miller, Arnold W."
4308 "Miller, Arthur H."
4309 "Miller, Donald J."
4310 "Miller, Gary Lee"
4311 "Miller, Guthrie"
4312 "Miller, Harry I."
4313 "Miller, Jeffery C. P."
4314 "Miller, John A."
4315 "Miller, Kenneth S."
4316 "Miller, Michael D."
4317 "Miller, Mirka"
4318 "Miller, Nathaly"
4319 "Miller, R. E."
4320 "Miller, Victor S."
4321 "Miller, Willard, Jr."
4322 "Miller, Zevi"
4323 "Mills, Charles F."
4324 "Mills, Terence M."
4325 "Mills, William H."
4326 "Milman, Vitali D."
4327 "Milnes, Paul"
4328 "Milo, Tova"
4329 "Milovanovic, Gradimir V."
4330 "Miltersen, Peter Bro"
4331 "Mimura, Y."
4332 "Mincer, Bohdan"
4333 "Minkin, Arcady M."
4334 "Mioduszewski, Jerzy"
4335 "Mirumyan, A. N."
4336 "Mishna, Marni"
4337 "Misiurewicz, Michal"
4338 "Mitchell, John William"
4339 "Mitchell, William John"
4340 "Mitchem, John"
4341 "Mitra, S. C."
4342 "Mitrana, Victor"
4343 "Mityagin, Boris"
4344 "Mitzner, Kenneth M."
4345 "Miyamoto, I."
4346 "Mizel, Victor J."
4347 "Mo, Charles T. C."
4348 "Mo, De Ze"
4349 "Mo, Zhuguo"
4350 "Mochizuki, Horace Y."
4351 "Modi, J. J."
4352 "Moffat, Alistair"
4353 "Mogyorodi, Jozsef"
4354 "Mohammed, S."
4355 "Mohanty, Shreedhara Prasada"
4356 "Mohanty, Sri Gopal"
4357 "Mohapatra, Ram Narayan"
4358 "Mohar, Bojan"
4359 "Mohit, Satya"
4360 "Moisiadis, Alexandros"
4361 "Mokken, Robert J."
4362 "Molcho, Moshe"
4363 "Moll, Christoph"
4364 "Mollard, Michel"
4365 "Mollin, Richard Anthony"
4366 "Molloy, Michael Sean O'Brien"
4367 "Molnar, Jozsef"
4368 "Molnar, Sandor"
4369 "Monagan, M. B."
4370 "Mond, Bertram"
4371 "Monderer, Dov"
4372 "Monjardet, Bernard"
4373 "Monk, J. Donald"
4374 "Monma, Clyde L."
4375 "Monroe, Ted R."
4376 "Monson, Sylvia D."
4377 "Monteferrante, Sandra"
4378 "Monti, Angelo"
4379 "Monticino, Michael G."
4380 "Moore, James W."
4381 "Moore, John I., Jr."
4382 "Moore, Judy Hennessey"
4383 "Moore, Robert Laurens"
4384 "Moore, W. K."
4385 "Moorhouse, G. Eric"
4386 "Mor, Moshe"
4387 "Morain, Francois"
4388 "Moran, Gadi"
4389 "Moran, William"
4390 "Morayne, Michal"
4391 "Mordell, Lewis Joel"
4392 "Moree, Pieter"
4393 "Moreno, Carlos Julio"
4394 "Moret, Bernard M. E."
4395 "Morgan, Frank"
4396 "Morgana, Aurora"
4397 "Mori, Kenichi-2"
4398 "Moricz, Ferenc"
4399 "Morley, Thomas D."
4400 "Moroz, Baruch ben Zelik"
4401 "Morris, Kerwin W."
4402 "Morris, Sidney A."
4403 "Morrish, A."
4404 "Morrison, John Alexander"
4405 "Morrison, Michael A."
4406 "Morselt, B. J. M."
4407 "Morsi, Nehad N."
4408 "Morters, Peter"
4409 "Mosegaard, Klaus"
4410 "Moser, William O. J."
4411 "Mosse, Brigitte"
4412 "Mossinghoff, Michael J."
4413 "Mostert, Paul S."
4414 "Mostowski, Andrzej"
4415 "Moszner, Zenon"
4416 "Motohashi, Yoichi"
4417 "Motwani, Rajeev"
4418 "Motzkin, Theodore S."
4419 "Mount, David M."
4420 "Mourant, Wanda J."
4421 "Movahhedi, A."
4422 "Mowshowitz, Abbe"
4423 "Moyls, Benjamin"
4424 "Mrugala, Ryszard"
4425 "Mubayi, Dhruv"
4426 "Mucci, R."
4427 "Muder, Douglas J."
4428 "Mueller, Thomas"
4429 "Muffett, Alec"
4430 "Mukerjee, Rahul"
4431 "Mukherjee, S."
4432 "Mukhopadhyay, Nitis"
4433 "Mukhopadhyay, Parimal"
4434 "Mulder, Henry Martyn"
4435 "Muldner, Kasia"
4436 "Mulholland, H. P."
4437 "Mullen, Gary L."
4438 "Muller, David E."
4439 "Muller, Haiko"
4440 "Muller, Jurgen-3"
4441 "Muller, Vladimir"
4442 "Mullhaupt, Andrew P."
4443 "Mullineux, N."
4444 "Mumey, Brendan"
4445 "Mumford, David"
4446 "Munro, J. Ian"
4447 "Munton, Dan"
